kernel_size,pooling_size,dropout_rate,dense_units,avg_test_accuracy_returned_by_model,std_test_accuracy_returned_by_model,avg_test_accuracy_postprocess,avg_precision_postprocess,avg_recall_postprocess,avg_f1_postprocess
"(3, 3)","(2, 2)",0.2,"(128, 64)",73.99063152548112,3.2473178442245225,0.7399063152548112,0.7446840371789742,0.7399063152548112,0.7396785913598113
"(3, 3)","(2, 2)",0.2,"(256, 128)",74.47062475308992,2.2512875471049614,0.744706247530899,0.7590053678001751,0.744706247530899,0.7454525717969827
"(3, 3)","(2, 2)",0.3,"(128, 64)",72.71488232970258,3.137032452936817,0.7271488232970258,0.7354411867816731,0.7271488232970258,0.7270676833516119
"(3, 3)","(2, 2)",0.3,"(256, 128)",73.353180202043,1.3979836337975544,0.73353180202043,0.7447884869998609,0.73353180202043,0.732758314844001
"(3, 3)","(3, 3)",0.2,"(128, 64)",69.48050115695017,2.0653676735633946,0.6948050115695017,0.6995055614121387,0.6948050115695017,0.6925927216041257
"(3, 3)","(3, 3)",0.2,"(256, 128)",69.849878661324,2.663496075747512,0.6984987866132399,0.7074716826660893,0.6984987866132399,0.6981678624440792
"(3, 3)","(3, 3)",0.3,"(128, 64)",67.94034652068402,2.458881497982578,0.6794034652068401,0.6910779772814868,0.6794034652068401,0.6767984214187087
"(3, 3)","(3, 3)",0.3,"(256, 128)",69.58420339748292,1.9695486758701433,0.6958420339748292,0.7138335072696501,0.6958420339748292,0.6933273113189461
"(5, 5)","(2, 2)",0.2,"(128, 64)",74.14907726169648,1.9273902512446475,0.7414907726169649,0.7547425028632464,0.7414907726169649,0.7420734479012928
"(5, 5)","(2, 2)",0.2,"(256, 128)",75.0524860319431,2.3610092903479853,0.7505248603194311,0.756987292686674,0.7505248603194311,0.7494356598041358
"(5, 5)","(2, 2)",0.3,"(128, 64)",70.33015407190022,3.676485028267328,0.7033015407190022,0.727765675679522,0.7033015407190022,0.7024914897414641
"(5, 5)","(2, 2)",0.3,"(256, 128)",70.54475421863535,7.486439788449821,0.7054475421863536,0.7282537386198864,0.7054475421863536,0.6999421323505656
"(5, 5)","(3, 3)",0.2,"(128, 64)",69.69340820588069,5.686205961053993,0.6969340820588069,0.7314033311764595,0.6969340820588069,0.6956915230990462
"(5, 5)","(3, 3)",0.2,"(256, 128)",69.42829730797447,6.4720022806928155,0.6942829730797448,0.728038280556583,0.6942829730797448,0.6902038546720994
"(5, 5)","(3, 3)",0.3,"(128, 64)",72.34338845307298,3.779604646171937,0.7234338845307298,0.7411220813166952,0.7234338845307298,0.7199098010673344
"(5, 5)","(3, 3)",0.3,"(256, 128)",70.16916868897792,5.235808511255548,0.7016916868897793,0.7263232196812208,0.7016916868897793,0.6965113121953698
