kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
8,1,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.7256663559931468,0.047350092828532066,0.4661497064339697,0.047350092828532066,0.4661497064339697,0.4921528303699792,0.4661497064339697,0.46483625777221826
8,1,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.7879942222707731,0.03861916792741782,0.4814620032527329,0.03861916792741782,0.4814620032527329,0.5013199874739287,0.4814620032527329,0.48122875175578406
8,1,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.6959391169376046,0.02472385684801432,0.45366790051973,0.02472385684801432,0.45366790051973,0.475147577993539,0.45366790051973,0.45147175003430284
8,1,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.8101076864774072,0.04114727604397633,0.455247527337921,0.04114727604397633,0.455247527337921,0.49166040004871603,0.455247527337921,0.45750288182868115
8,2,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.6746252693825582,0.04151606692583222,0.44288487036749213,0.04151606692583222,0.44288487036749213,0.4742295526259703,0.44288487036749213,0.4433581807734191
8,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.7157730419697078,0.03548947013163347,0.4625344218954618,0.03548947013163347,0.4625344218954618,0.4905672444470358,0.4625344218954618,0.46307581014006355
8,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.8575610690120925,0.05393890248007424,0.4479553082644349,0.05393890248007424,0.4479553082644349,0.4905932505045367,0.4479553082644349,0.4452623497146167
8,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.8335252555590793,0.026129986648311412,0.4774805661989731,0.026129986648311412,0.4774805661989731,0.5068549110302669,0.4774805661989731,0.4741377284802201
15,1,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.7625772451815116,0.028035926588538422,0.472353499888882,0.028035926588538422,0.472353499888882,0.48877736762635243,0.472353499888882,0.47333411000815123
15,1,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.811575107247446,0.020104684078972777,0.4852617214570058,0.020104684078972777,0.4852617214570058,0.5003053891595863,0.4852617214570058,0.4871698187647689
15,1,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.7014874915306614,0.029757900275719548,0.418381334478999,0.029757900275719548,0.418381334478999,0.474626464531236,0.418381334478999,0.41668605695266
15,1,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.8271817042725809,0.026328712002266025,0.46823340921875956,0.026328712002266025,0.46823340921875956,0.4837552562354121,0.46823340921875956,0.46583519497037046
15,2,"[32, 64, 128, 256, 128, 64]","[1, 1]","[0, 1, 2, 3]",False,0.6767351998778898,0.04500498284211207,0.42869071619256127,0.04500498284211207,0.42869071619256127,0.45697217679030055,0.42869071619256127,0.43190714018330495
15,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]","[0, 1, 2, 3]",False,0.7584281183280926,0.0337637552882124,0.45530938690819117,0.0337637552882124,0.45530938690819117,0.48272021678914845,0.45530938690819117,0.45869414317405033
15,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]","[0, 1, 2, 3]",False,0.7344066034897114,0.03890033138975033,0.44074558758617083,0.03890033138975033,0.44074558758617083,0.47946642019333635,0.44074558758617083,0.435415103018104
15,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]","[0, 1, 2, 3]",False,0.7969986835936153,0.040120986360013385,0.47666771080323633,0.040120986360013385,0.47666771080323633,0.5060753520029639,0.47666771080323633,0.4787496836168416
