kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
8,1,"[32, 64, 128, 256, 128, 64]","[1, 1]",[0],False,0.7655290102389077,0.01675088317381836,0.5928904001354478,0.01675088317381836,0.5928904001354478,0.6160664222158811,0.5928904001354478,0.595753416345374
8,1,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]",[0],False,0.8500568828213879,0.009543309895007502,0.652337885885208,0.009543309895007502,0.652337885885208,0.6620182366409451,0.652337885885208,0.652272430964542
8,1,"[32, 64, 128, 256, 128, 64]","[-1, -1]",[0],False,0.7921501706484642,0.05038016820727144,0.587066143687567,0.05038016820727144,0.587066143687567,0.6005054263906795,0.587066143687567,0.5866844368096773
8,1,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]",[0],False,0.8751990898748578,0.020239405691092522,0.6396128449686778,0.020239405691092522,0.6396128449686778,0.6626664435589197,0.6396128449686778,0.6383262063329884
8,2,"[32, 64, 128, 256, 128, 64]","[1, 1]",[0],False,0.7751990898748577,0.0345600235584329,0.5864961340933462,0.0345600235584329,0.5864961340933462,0.5930410517893172,0.5864961340933462,0.5838653320297621
8,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]",[0],False,0.871217292377702,0.026751960467740817,0.6443944353518821,0.026751960467740817,0.6443944353518821,0.6622317782469935,0.6443944353518821,0.6457961873323653
8,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]",[0],False,0.752901023890785,0.01702762756844039,0.5774860319431119,0.01702762756844039,0.5774860319431119,0.6085456120356056,0.5774860319431119,0.5760748351741348
8,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]",[0],False,0.8865756541524459,0.049863381895429194,0.658203058863367,0.049863381895429194,0.658203058863367,0.6811047876182171,0.658203058863367,0.6600052098591569
15,1,"[32, 64, 128, 256, 128, 64]","[1, 1]",[0],False,0.8276450511945393,0.03238837784843308,0.5982137818161295,0.03238837784843308,0.5982137818161295,0.6095718128005384,0.5982137818161295,0.5963338662860229
15,1,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]",[0],False,0.8343572241183163,0.027726330567124046,0.6082679609458773,0.027726330567124046,0.6082679609458773,0.6152310234651303,0.6082679609458773,0.6053556786174614
15,1,"[32, 64, 128, 256, 128, 64]","[-1, -1]",[0],False,0.8117178612059158,0.026088752981973294,0.5790860093684745,0.026088752981973294,0.5790860093684745,0.5967957977803092,0.5790860093684745,0.5777195827939874
15,1,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]",[0],False,0.8948805460750853,0.02933595206253454,0.6353532930752299,0.02933595206253454,0.6353532930752299,0.6413534102717107,0.6353532930752299,0.6334519236567036
15,2,"[32, 64, 128, 256, 128, 64]","[1, 1]",[0],False,0.7540386803185438,0.01711450956865643,0.5806662339861166,0.01711450956865643,0.5806662339861166,0.588871343262426,0.5806662339861166,0.576737069212448
15,2,"[32, 64, 128, 256, 128, 64]","[1, 1, 1]",[0],False,0.8675767918088736,0.03629396925761381,0.6162438625204583,0.03629396925761381,0.6162438625204583,0.622148861782459,0.6162438625204583,0.615485312856362
15,2,"[32, 64, 128, 256, 128, 64]","[-1, -1]",[0],False,0.7445961319681457,0.03081957686306524,0.5663482702184096,0.03081957686306524,0.5663482702184096,0.5884040651811733,0.5663482702184096,0.5662806225058394
15,2,"[32, 64, 128, 256, 128, 64]","[-1, -1, -1]",[0],False,0.8455062571103527,0.026031452006386027,0.6199390484790338,0.026031452006386027,0.6199390484790338,0.6341395000166754,0.6199390484790338,0.6190098855978909
