kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.9458714448236634,0.0308393231105324,0.568033466899938,0.0308393231105324,0.568033466899938,0.5715033759667069,0.568033466899938,0.5659817201119699
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9096939704209328,0.025906640186006157,0.5436175856425306,0.025906640186006157,0.5436175856425306,0.5443715094176097,0.5436175856425306,0.5419692025591845
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.9132207053469853,0.025385711161032127,0.5542234324736158,0.025385711161032127,0.5542234324736158,0.5603561195117075,0.5542234324736158,0.5533504631173959
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.9207292377701934,0.04591486658696953,0.5170345391952141,0.04591486658696953,0.5170345391952141,0.5207430843563922,0.5170345391952141,0.5127392087354179
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7606609783845278,0.02548282452106946,0.5473000733675715,0.02548282452106946,0.5473000733675715,0.5595589580177981,0.5473000733675715,0.5448718407081715
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.7584994311717861,0.02872024314495053,0.549423500197528,0.02872024314495053,0.549423500197528,0.5594637216594007,0.549423500197528,0.5464188655808922
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.7416621160409557,0.018292216786274194,0.5595397595801117,0.018292216786274194,0.5595397595801117,0.5755563180859795,0.5595397595801117,0.5596729716247815
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7696484641638226,0.016560209709005976,0.5611199841977538,0.016560209709005976,0.5611199841977538,0.570206255785077,0.5611199841977538,0.5582275439726052
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.950194539249147,0.02793823828611995,0.5605669055815792,0.02793823828611995,0.5605669055815792,0.5637916955441921,0.5605669055815792,0.5574373323650701
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9205017064846418,0.02506623764932379,0.5356360404086009,0.02506623764932379,0.5356360404086009,0.5362308616348978,0.5356360404086009,0.5307548068828307
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.8881922639362914,0.020831673891663085,0.5399012359613974,0.020831673891663085,0.5399012359613974,0.5399849655384799,0.5399012359613974,0.5360302229365908
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.8347224118316268,0.015386952344015544,0.554763812856256,0.015386952344015544,0.554763812856256,0.5565598233431769,0.554763812856256,0.5497277444038808
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7514459613196814,0.025462302086919815,0.5457565325356961,0.025462302086919815,0.5457565325356961,0.5480913795253573,0.5457565325356961,0.5431988910310769
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.8341535836177474,0.01985242872808505,0.554739827304024,0.01985242872808505,0.554739827304024,0.5626270612680079,0.554739827304024,0.552917539565978
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.772947667804323,0.021814073114120674,0.5850237033692647,0.021814073114120674,0.5850237033692647,0.5895585305891904,0.5850237033692647,0.5833060999381378
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7480329920364049,0.030650869168880184,0.5688069304136802,0.030650869168880184,0.5688069304136802,0.5795357989036421,0.5688069304136802,0.5668586350687516

