kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.9468714448236634,0.0408393231105324,0.578033466899938,0.0408393231105324,0.578033466899938,0.5815033759667069,0.578033466899938,0.5759817201119699
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9106939704209328,0.029906640186006157,0.5536175856425306,0.029906640186006157,0.5536175856425306,0.5543715094176097,0.5536175856425306,0.5519692025591845
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.9142207053469853,0.029385711161032127,0.5642234324736158,0.029385711161032127,0.5642234324736158,0.5703561195117075,0.5642234324736158,0.5633504631173959
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.9217292377701934,0.05591486658696953,0.5270345391952141,0.05591486658696953,0.5270345391952141,0.5307430843563922,0.5270345391952141,0.5227392087354179
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7616609783845278,0.03248282452106946,0.5573000733675715,0.03248282452106946,0.5573000733675715,0.5695589580177981,0.5573000733675715,0.5548718407081715
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.7594994311717861,0.03572024314495053,0.559423500197528,0.03572024314495053,0.559423500197528,0.5694637216594007,0.559423500197528,0.5564188655808922
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.7426621160409557,0.025292216786274194,0.5695397595801117,0.025292216786274194,0.5695397595801117,0.5855563180859795,0.5695397595801117,0.5696729716247815
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7706484641638226,0.021560209709005976,0.5711199841977538,0.021560209709005976,0.5711199841977538,0.580206255785077,0.5711199841977538,0.5682275439726052
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.951194539249147,0.03493823828611995,0.5705669055815792,0.03493823828611995,0.5705669055815792,0.5737916955441921,0.5705669055815792,0.5674373323650701
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9215017064846418,0.03006623764932379,0.5456360404086009,0.03006623764932379,0.5456360404086009,0.5462308616348978,0.5456360404086009,0.5407548068828307
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.8891922639362914,0.027831673891663085,0.5499012359613974,0.027831673891663085,0.5499012359613974,0.5499849655384799,0.5499012359613974,0.5460302229365908
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.8357224118316268,0.019386952344015544,0.564763812856256,0.019386952344015544,0.564763812856256,0.5665598233431769,0.564763812856256,0.5597277444038808
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7524459613196814,0.030462302086919815,0.6057565325356961,0.030462302086919815,0.6057565325356961,0.6080913795253573,0.6057565325356961,0.6041089910310432
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.8351535836177474,0.02685242872808505,0.564739827304024,0.02685242872808505,0.564739827304024,0.5726270612680079,0.564739827304024,0.562917539565978
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.773947667804323,0.028814073114120674,0.5950237033692647,0.028814073114120674,0.5950237033692647,0.5995585305891904,0.5950237033692647,0.5933060999381378
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7490329920364049,0.037650869168880184,0.5488069304136802,0.037650869168880184,0.5488069304136802,0.5495357989036421,0.5488069304136802,0.5468586350687516
