kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.9568714448236634,0.0288393231105324,0.648033466899938,0.0288393231105324,0.648033466899938,0.6515033759667069,0.648033466899938,0.6459817201119699
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9206939704209328,0.024906640186006157,0.6236175856425306,0.024906640186006157,0.6236175856425306,0.6243715094176097,0.6236175856425306,0.6219692025591845
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.9242207053469853,0.024385711161032127,0.6342234324736158,0.024385711161032127,0.6342234324736158,0.6403561195117075,0.6342234324736158,0.6333504631173959
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.9317292377701934,0.04491486658696953,0.5970345391952141,0.04491486658696953,0.5970345391952141,0.6007430843563922,0.5970345391952141,0.5927392087354179
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7716609783845278,0.02448282452106946,0.6273000733675715,0.02448282452106946,0.6273000733675715,0.6395589580177981,0.6273000733675715,0.6248718407081715
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.7694994311717861,0.02772024314495053,0.629423500197528,0.02772024314495053,0.629423500197528,0.6394637216594007,0.629423500197528,0.6264188655808922
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.7526621160409557,0.017292216786274194,0.6395397595801117,0.017292216786274194,0.6395397595801117,0.6555563180859795,0.6395397595801117,0.6396729716247815
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7806484641638226,0.015560209709005976,0.6411199841977538,0.015560209709005976,0.6411199841977538,0.650206255785077,0.6411199841977538,0.6382275439726052
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.961194539249147,0.02593823828611995,0.6405669055815792,0.02593823828611995,0.6405669055815792,0.6437916955441921,0.6405669055815792,0.6374373323650701
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9315017064846418,0.02306623764932379,0.6156360404086009,0.02306623764932379,0.6156360404086009,0.6162308616348978,0.6156360404086009,0.6107548068828307
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.8991922639362914,0.018831673891663085,0.6199012359613974,0.018831673891663085,0.6199012359613974,0.6199849655384799,0.6199012359613974,0.6160302229365908
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.8457224118316268,0.013386952344015544,0.634763812856256,0.013386952344015544,0.634763812856256,0.6365598233431769,0.634763812856256,0.6297277444038808
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7624459613196814,0.023462302086919815,0.6257565325356961,0.023462302086919815,0.6257565325356961,0.6280913795253573,0.6257565325356961,0.6231988910310769
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.8451535836177474,0.01785242872808505,0.634739827304024,0.01785242872808505,0.634739827304024,0.6426270612680079,0.634739827304024,0.632917539565978
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.783947667804323,0.019814073114120674,0.6650237033692647,0.019814073114120674,0.6650237033692647,0.6695585305891904,0.6650237033692647,0.6633060999381378
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7580329920364049,0.028650869168880184,0.6388069304136802,0.028650869168880184,0.6388069304136802,0.6795357989036421,0.6788069304136802,0.6768586350687516

