kernel_size,stride,dense_units,g,blades_idxs,sandwich,avg_train_accuracy,std_train_accuracy,avg_test_accuracy,std_test_accuracy,avg_test_accuracy_post,avg_precision_post,avg_recall_post,avg_f1_post
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.9668714448236634,0.0308393231105324,0.628033466899938,0.0308393231105324,0.628033466899938,0.6315033759667069,0.628033466899938,0.6259817201119699
3,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9306939704209328,0.025906640186006157,0.6036175856425306,0.025906640186006157,0.6036175856425306,0.6043715094176097,0.6036175856425306,0.6019692025591845
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.9342207053469853,0.025385711161032127,0.6142234324736158,0.025385711161032127,0.6142234324736158,0.6203561195117075,0.6142234324736158,0.6133504631173959
3,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.9417292377701934,0.04591486658696953,0.5770345391952141,0.04591486658696953,0.5770345391952141,0.5807430843563922,0.5770345391952141,0.5727392087354179
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7816609783845278,0.02548282452106946,0.6073000733675715,0.02548282452106946,0.6073000733675715,0.6195589580177981,0.6073000733675715,0.6048718407081715
3,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.7794994311717861,0.02872024314495053,0.609423500197528,0.02872024314495053,0.609423500197528,0.6194637216594007,0.609423500197528,0.6064188655808922
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.7626621160409557,0.018292216786274194,0.6195397595801117,0.018292216786274194,0.6195397595801117,0.6355563180859795,0.6195397595801117,0.6196729716247815
3,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7906484641638226,0.016560209709005976,0.6211199841977538,0.016560209709005976,0.6211199841977538,0.630206255785077,0.6211199841977538,0.6182275439726052
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.971194539249147,0.02793823828611995,0.6205669055815792,0.02793823828611995,0.6205669055815792,0.6237916955441921,0.6205669055815792,0.6174373323650701
5,1,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.9415017064846418,0.02506623764932379,0.5956360404086009,0.02506623764932379,0.5956360404086009,0.5962308616348978,0.5956360404086009,0.5907548068828307
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.9091922639362914,0.020831673891663085,0.5999012359613974,0.020831673891663085,0.5999012359613974,0.5999849655384799,0.5999012359613974,0.5960302229365908
5,1,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.8557224118316268,0.015386952344015544,0.614763812856256,0.015386952344015544,0.614763812856256,0.6165598233431769,0.614763812856256,0.6097277444038808
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1]",[0],True,0.7724459613196814,0.025462302086919815,0.6057565325356961,0.025462302086919815,0.6057565325356961,0.6080913795253573,0.6057565325356961,0.6031988910310769
5,2,"[1, 1, 1, 1, 256, 128, 64]","[1, 1, 1]",[0],True,0.8551535836177474,0.01985242872808505,0.614739827304024,0.01985242872808505,0.614739827304024,0.6226270612680079,0.614739827304024,0.612917539565978
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1]",[0],True,0.793947667804323,0.020614056114120674,0.6450237033692647,0.020614056114120674,0.6450237033692647,0.6495585305891904,0.6450237033692647,0.6433060999381378
5,2,"[1, 1, 1, 1, 256, 128, 64]","[-1, -1, -1]",[0],True,0.7680329920364049,0.030650869168880184,0.6588069304136802,0.030650869168880184,0.6588069304136802,0.6695357989036421,0.6588069304136802,0.6568586350687516
